제품 번호,제품명,Top Note,Middle Note,Base Note,브랜드,부향률,가격,설명
0,겐조 플라워 바이 겐조 오 드 퍼퓸,"블랙커런트, 산사나무, 불가리안 로즈","오포포낙스, 자스민, 파라마 바이올렛, 로즈, 머스크","바닐라, 인센스",겐조,오 드 퍼퓸,"106,000",
1,겐조 뿌르팜므 EDT,"만다린, 그린 블랙커런트",라즈베리 잎사귀,매그놀리아 꽃잎,겐조,오 드 뚜왈렛,"45,000",
2,겐조 우먼 EDT,"라일락, 만다린, 워터민트","아마릴리스, 수련, 복숭아","머스크, 삼나무, 바닐라",겐조,오 드 뚜왈렛,"50,900",
3,겐조 뉴 플라워 바이 겐조 EDT,시칠리아 레몬,불가리아 로즈 워터,"머스크, 바닐라",겐조,오 드 뚜왈렛,"64,000",
4,겔랑 아쿠아 알레고리아 페라 그라니타 오 드 뚜왈렛,"자몽, 레몬, 베르가못","배, 오렌지 블로썸, 오스만투스, 헤디온","머스크, 세다, 모스",겔랑,오 드 뚜왈렛,"158,000",
5,겔랑 몽 겔랑 오 드 퍼퓸,"라벤더, 베르가못","자스민 삼박, 아이리스, 로즈","타히티산 바닐라, 오스트렐리아산 샌달우드, 쿠마린, 벤조인, 리커리쉬, 패출리",겔랑,오 드 퍼퓸,"176,000",
6,겔랑 라 쁘띠 로브 느와르 오 드 퍼퓸,"블루베리, 베르가못, 라즈베리","로즈, 오렌지 블로썸, 자스민 삼박","솜사탕, 샌달우드, 패출리, 머스크",겔랑,오 드 퍼퓸,"176,000",
7,플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛,"레드 베리, 페어","가르데니아, 프렌지파니","파출리, 브라운 슈거 어코드",구찌,오 드 뚜왈렛,"112,000",
8,로즈 드 끌로에 EDT,"베르가못, 핑크 작약, 리치, 레몬","다마스크 로즈, 매그놀리아","머스크, 앰버",끌로에,오 드 뚜왈렛,"74,500",
9,대니멕켄지 밤쉘,"작약, 그린애플","바닐라꽃, 난초, 블루베리","무화가, 머스크, 오크모스",대니멕켄지,,"126,000",
10,더페이스샵 소울 시크릿 블라썸,"레몬티, 그린티 잎, 라일락, 오스만투스","레드 피오니, 복숭아꽃, 위스테리아","화이트 샌달우드, 프레셔스 앰버, 소프트 머스크",더 페이스샵,,"16,000",
11,더페이스샵 소울 프로미스 링,"시트러스, 프루티","플로랄, 머스크, 아로마틱","오리엔탈, 머스크, 우디",더 페이스샵,,"16,000",
12,미스 디올 블루밍 부케 룰러 펄 오 드 뚜왈렛,칼라브리아 베르가못,"피오니, 다마스커스 로즈",화이트머시크,디올,오 드 뚜왈렛,"59,000",
13,딥디크 롬브로 단 로 오 드 퍼퓸,불가리안 로즈,커런트 잎,앰버,딥디크,오 드 퍼퓸,"235,000",
14,딥디크 오 로즈 오 드 뚜왈렛,"블랙커런트, 다마스커스 로즈, 베르가못","센티폴리아 로즈 에센스, 제라늄","시더우드, 우디",딥디크,오 드 뚜왈렛,"199,000",
15,딥디크 베티베리오 오 드 뚜왈렛,"베르가못, 자몽, 아말피 레몬, 만다린 오렌지","제라늄, 일랑일랑, 로즈, 당근 씨앗, 넛맥, 클로브","베티버, 머스크, 버지니아 시더",딥디크,오 드 뚜왈렛,"175,000",
16,딥디크 도 손 오 드 뚜왈렛,"아프리카 오렌지 플라워, 로즈, 아이리스","튜베로즈, 핑크페퍼","벤조인, 머스크",딥디크,오 드 뚜왈렛,"175,000",
17,딥디크 플레르 드 뽀 오 드 퍼퓸,"알데하이드, 베르가못, 핑크페퍼, 안젤리카","아이리스, 로즈","가죽, 머스크, 샌달우드, 용연향, 암브레트, 앰버우드",딥디크,오 드 퍼퓸,"210,000",
18,딥디크 필로시코스 오 드 뚜왈렛,"무화과 잎, 무화과","그린 노트, 코코넛","무화과 나무, 우디, 시더",딥디크,오 드 뚜왈렛,"175,000",
19,딥디크 탐 다오 오 드 퍼퓸,"로즈 나무, 편백가지, 도금양",샌달우드,머스크,딥디크,오 드 퍼퓸,"210,000",
20,딥디크 오 데 썽 오 드 뚜왈렛,"비터 오렌지, 시트러스 노트","오렌지 플라워, 주니퍼베리","파출리, 우디",딥디크,오 드 뚜왈렛,"175,000",
21,랑방 루머 2 로즈 오 드 퍼퓸,"오렌지, 레몬, 베르가못, 그레이프 후르츠","화이트 로즈, 프루티 다마스콘, 허니써클","머스크, 우드, 앰버",랑방,오 드 퍼퓸,"81,000",
22,랑방 에끌라 드 아르페,"라일락, 레몬","그린티 잎, 복숭아나뭇잎, 피오나","시더우드, 머스크, 앰버",랑방,,"46,000",
23,랑방 메리미 오 드 퍼퓸,"비터 오렌지 에센스, 화이트 피치, 프리지어 부케","삼박 재스민 압솔귀, 매그놀리아 브리즈, 로즈 메탈","화이트 시더, 바이브런터 앰버, 머스크 베일",랑방,오 드 퍼퓸,"39,000",
24,랑방 모던 프린세스 오 드 퍼퓸,"핑크 레이드 애플, 레드 커런트","자스민, 프리지아","바닐라, 오키드, 머스크",랑방,오 드 퍼퓸,"58,000",
25,랑방 잔느 오 드 퍼퓸,"세드라, 배, 블랙베리","화이트 프리지아, 벨벳 후레시 부케","앰버그리스, 샌달우드, 머스크",랑방,오 드 퍼퓸,"89,000",
26,랑방 걸 인 카프리 오 드 뚜왈렛,"프리오피오레 레몬 오일, 베르가못","그레이프 프릇 플라워, 바닷바람","유목, 머스크 칵테일",랑방,오 드 뚜왈렛,"69,000",
27,로이비 피오니 앤 머스크,"자몽, 카시스","작약, 불가리안 로즈","머스크, 오리스",로이비,오 드 퍼퓸,"109,000",
28,로이비 베르가못 앤 화이트 로즈,"베르가못, 배","화이트 로즈, 화이트 프리지어 ","화이트 앰버, 파출리",로이비,오 드 퍼퓸,"109,000",
29,로이비 휘그 앤 시더우드,"무화과, 베르가못","파라디손, 자스민 페탈","시더우드, 드라이우드",로이비,오 드 퍼퓸,"109,000",
30,로이비 로터스 앤 인센스,"자몽, 당근","로터스, 하이산스","인센스, 모스",로이비,오 드 퍼퓸,"109,000",
31,로이비 만다린 앤 샌달우드,"만다린, 자몽","오렌지 플라워, 스피어민트","샌달우드, 앰버",로이비,오 드 퍼퓸,"109,000",
32,로이비 샤프론 앤 오렌지 블로썸,"샤프론, 오렌지 블로썸","자스민, 앰버그리스","시더우드, 발삼 퍼",로이비,오 드 퍼퓸,"109,000",
33,마녀공장 바닐라부티크,"베르가못, 애플","피치, 자스민","로즈, 로즈애플",마녀공장,오 드 뚜왈렛,"39,000",
34,마크 제이콥스 데이지 오 쏘 프레쉬 오 드 뚜왈렛,"라즈베리, 자몽, 배","파일드로즈, 바이올렛, 애플블라썸","플럼, 머스크, 시더우드",마크 제이콥스,오 드 뚜왈렛,"93,000",
35,바이레도 블랑쉬,"화이트 로즈, 핑크페퍼, 알데히드","바이올렛, 네롤리, 작약","블론드 우드, 샌달우드, 머스크",바이레도,오 드 퍼퓸,"250,000",
36,바이레도 인플로레센스,"로즈 잎, 핑크 프리지아","매그놀리아, 은방울꽃",후레쉬 자스민,바이레도,오 드 퍼퓸,"228,000",
37,바이레도 라 튤립 오 드 퍼퓸,"루바브, 시클라멘, 후리지아",튤립,"블론드 우드, 베티버",바이레도,오 드 퍼퓸,"240,000",
38,바이레도 로즈 오브 노 맨즈 랜드 오 드 퍼퓸,"자몽, 터키쉬 로즈페탈",로즈 앱솔루트,"시트러스, 모스, 머스크, 파피루스, 앰버",바이레도,오 드 퍼퓸,"230,000",
39,버버리 브릿 쉬어 포 우먼 EDT,"리치, 유자, 파인애플 잎, 만다린 오렌지","핑크피오니, 피치블로썸, 배","머스크, 우디",버버리,오 드 뚜왈렛,"41,000",
40,버버리 위크앤드 포 우먼 오 드 퍼퓸,"탠저린, 수액, 레세다","와일드 로즈, 복숭아 꽃, 아이리스, 히아신스, 넥타린","시더우드, 샌달우드",버버리,오 드 퍼퓸,"47,800",
41,버버리 클래식 우먼 오 드 퍼퓸,"복숭아, 살구, 자두","자스민, 백단, 서양 삼나무","머스크, 앰버, 샌달우드, 바닐라",버버리,오 드 퍼퓸,"48,500",
42,베르사체 브라이트 크리스탈 오 드 뚜왈렛,"석류, 유자, 아이스어코드","목련, 작약, 연꽃","베지터블, 앰버, 머스크",베르사체,오 드 뚜왈렛,"49,000",
43,불가리 옴니아 아메시스트 오 드 뚜왈렛,"홍자몽, 오렌지","불가리아 로즈버드, 아이리스, 로즈","태양나무, 머스크",불가리,오 드 뚜왈렛,"65,000",
44,불가리 쁘띠마망 오 드 뚜왈렛,"베르가못, 오렌지, 로즈우드","해바라기, 야생 로즈, 캐모마일","백복숭아, 아이리스, 백합",불가리,오 드 뚜왈렛,"75,800",
45,불가리 옴니아 크리스탈린 EDT,"대나무, 배","연꽃, 찻잎, 카시아","머스크, 유창목, 오크 모스",불가리,오 드 뚜왈렛,"79,900",
46,불가리 옴니아 코랄 EDT,"베르가못, 구기자","히비스커스 플라워, 수련","석류, 삼나무",불가리,오 드 뚜왈렛,"79,400",
47,샤넬 넘버5 오 드 퍼퓸,"알데하이드, 네롤리, 일랑일랑, 베르가못, 레몬","아이리스, 오리스뿌리, 자스민, 은방울꽃, 로즈","앰버, 샌달우드, 파출리, 머스크, 사향고양이, 바닐라, 오크모스, 베티버",샤넬,오 드 퍼퓸,"227,000",
48,샤넬 넘버5 로 드 스프레이 EDT,"레몬, 만다린, 오렌지","자스민, 베티베, 시더",머스크,샤넬,오 드 뚜왈렛,"213,000",
